name,system_size,tot_states,tot_transitions,automaton0,automaton1,automaton2,automaton3,automaton4,comp
l_7,51930231,4223,12297,"962,2822","849,2469","505,1461","381,1131","833,2359",8
m_7,21763560,2730,7972,"741,2178","406,1194","274,802","402,1153","256,752",8
s_1,652470,478,1365,"476,1361","2,4",None,None,None,2
l_5,36327480,3540,10262,"962,2822","849,2469","505,1461","381,1131","833,2359",6
xl_7,120989216,6502,18608,"1465,4170","418,1231","1063,2992","950,2754","1102,3112",8
m_5,12740811,2089,6099,"741,2178","406,1194","274,802","402,1153","256,752",6
xxl_5,144137952,7049,20448,"1873,5345","1074,3106","1553,4492","1531,4513","1008,2972",6
l_1,2724264,964,2826,"962,2822","2,4",None,None,None,2
s_5,7442385,1605,4637,"476,1361","185,530","330,978","170,504","434,1244",6
xl_5,71509232,5008,14279,"1465,4170","418,1231","1063,2992","950,2754","1102,3112",6
s_7,13116064,2132,6152,"476,1361","185,530","330,978","170,504","434,1244",8
xxl_7,258078260,9460,27281,"1873,5345","1074,3106","1553,4492","1531,4513","1008,2972",8
xl_3,24811560,2952,8405,"1465,4170","418,1231","1063,2992","6,12",None,4
xxl_1,10029375,1875,5349,"1873,5345","2,4",None,None,None,2
m_3,5973422,1427,4186,"741,2178","406,1194","274,802","6,12",None,4
xxl_3,58375230,4506,12955,"1873,5345","1074,3106","1553,4492","6,12",None,4
l_3,15706008,2322,6764,"962,2822","849,2469","505,1461","6,12",None,4
s_3,2872357,997,2881,"476,1361","185,530","330,978","6,12",None,4
xl_1,6123258,1467,4174,"1465,4170","2,4",None,None,None,2
m_1,1621226,743,2182,"741,2178","2,4",None,None,None,2
