name,num_automata,total_locations,total_edges,total_clocks,total_zones,total_zone_trans,max_constant,zone_build_time_ms
l_1,2,17,49,2,964,2826,29,1.38282
l_3,4,51,147,6,2322,6764,29,3.22686
l_5,6,85,245,10,3540,10262,29,4.91332
l_7,8,119,343,14,4223,12297,29,5.91116
m_1,2,14,40,2,743,2182,30,1.02393
m_3,4,42,120,6,1427,4186,30,1.95987
m_5,6,70,200,10,2089,6099,30,2.8191
m_7,8,98,280,14,2730,7972,30,3.78761
s_1,2,12,34,2,478,1365,28,0.666624
s_3,4,36,102,6,997,2881,28,1.34895
s_5,6,60,170,10,1605,4637,28,2.25637
s_7,8,84,238,14,2132,6152,28,2.90251
xl_1,2,19,55,2,1467,4174,28,1.99901
xl_3,4,57,165,6,2952,8405,28,4.00679
xl_5,6,95,275,10,5008,14279,28,6.84874
xl_7,8,133,385,14,6502,18608,28,8.81303
xxl_1,2,22,64,2,1875,5349,26,2.69159
xxl_3,4,66,192,6,4506,12955,26,6.18898
xxl_5,6,110,320,10,7049,20448,26,9.9326
xxl_7,8,154,448,14,9460,27281,29,13.2467
