Benchmark,Time(ms),Memory(KB)
assets/eval/s_1.xml,100.92844162136316,17724
assets/eval/m_1.xml,101.11497063189745,17792
assets/eval/l_1.xml,101.0253606364131,17940
assets/eval/xl_1.xml,100.978241302073,18080
assets/eval/s_3.xml,210452.22542621195,81216
assets/eval/m_3.xml,36000089.28916138,81216
assets/eval/l_3.xml,36000089.28916138,81216
assets/eval/xl_3.xml,36000089.28916138,81216
assets/eval/s_5.xml,36000089.28916138,81216
assets/eval/m_5.xml,36000089.28916138,81216
assets/eval/l_5.xml,36000089.28916138,81216
assets/eval/xl_5.xml,36000089.28916138,81216
